Instancia,Dimensao,Experimento,Heuristica,EstrategiaBusca,Intensificacao,Diversificacao,CustoInicial,CustoFinal,MelhoriaPercentual,TempoTotal,Iteracoes,DescricaoCenario
X-n101-k25,101,Req3_savings_first,savings,first,False,False,28941.984425178514,28592.31847030542,1.2081616441231169,6.058063983917236,129,Construtiva Base (first)
X-n101-k25,101,Req3_savings_best,savings,best,False,False,28941.984425178514,28603.57025245311,1.16928462041115,6.532374143600464,112,Construtiva Base (best)
X-n101-k25,101,Req3_cheapest_insertion_first,cheapest_insertion,first,False,False,35949.83633910607,30839.989718244324,14.213824432083097,5.842750072479248,207,Construtiva Base (first)
X-n101-k25,101,Req3_cheapest_insertion_best,cheapest_insertion,best,False,False,35949.83633910607,29694.31719780743,17.4006887883768,7.07952618598938,152,Construtiva Base (best)
X-n101-k25,101,Req3_route_first_cluster_second_first,route_first_cluster_second,first,False,False,30879.141714897447,29184.136231402463,5.489159961584164,5.416378736495972,169,Construtiva Base (first)
X-n101-k25,101,Req3_route_first_cluster_second_best,route_first_cluster_second,best,False,False,30879.141714897447,29439.621336357886,4.661788827650844,7.676036596298218,135,Construtiva Base (best)
X-n101-k25,101,Req4_Base_first,savings,first,False,False,28941.984425178514,28819.91997408487,0.4217556381083938,1800.0297410488129,12895,Sem Int / Sem Div (first)
X-n101-k25,101,Req4_Int_first,savings,first,True,False,28941.984425178514,28819.919974084867,0.4217556381084063,1800.0440690517426,12860,Só Intensificação (first)
X-n101-k25,101,Req4_Div_first,savings,first,False,True,28941.984425178514,28221.663974933912,2.488842643484905,1800.0082907676697,46434,Só Diversificação (ILS) (first)
X-n101-k25,101,Req4_Full_first,savings,first,True,True,28941.984425178514,28226.093868636905,2.473536527505039,1800.0149173736572,28047,Completo (ILS + Int) (first)
X-n101-k25,101,Req4_Base_best,savings,best,False,False,28941.984425178514,28571.001242339902,1.2818166763847398,1800.0380935668945,13234,Sem Int / Sem Div (best)
X-n101-k25,101,Req4_Int_best,savings,best,True,False,28941.984425178514,28571.001242339902,1.2818166763847398,1800.000515460968,13176,Só Intensificação (best)
X-n101-k25,101,Req4_Div_best,savings,best,False,True,28941.984425178514,28039.357119816497,3.118747118724737,1800.0934920310974,14022,Só Diversificação (ILS) (best)
X-n101-k25,101,Req4_Full_best,savings,best,True,True,28941.984425178514,28098.636026885055,2.9139273448014706,1800.0310366153717,14070,Completo (ILS + Int) (best)
X-n204-k19,204,Req3_savings_first,savings,first,False,False,21377.70902709986,21095.016410332388,1.3223709631799705,37.269986152648926,139,Construtiva Base (first)
X-n204-k19,204,Req3_savings_best,savings,best,False,False,21377.70902709986,21085.898511458865,1.3650223944533793,42.52316117286682,128,Construtiva Base (best)
X-n204-k19,204,Req3_cheapest_insertion_first,cheapest_insertion,first,False,False,24504.08089522953,22397.687104802957,8.59609384833792,37.689207553863525,196,Construtiva Base (first)
X-n204-k19,204,Req3_cheapest_insertion_best,cheapest_insertion,best,False,False,24504.08089522953,21450.755272990533,12.460478053814377,80.33745908737183,241,Construtiva Base (best)
