Iteration,Time,BestCost,CurrentCost
0,0.013508081436157227,21377.70902709986,21377.70902709986
1,0.02250814437866211,21338.54101372125,21338.54101372125
2,0.02850818634033203,21315.676857578135,21315.676857578135
3,0.03250885009765625,21306.593189190382,21306.593189190382
4,0.034508705139160156,21305.825343780303,21305.825343780303
5,0.0725092887878418,21301.480740941635,21301.480740941635
6,0.10051369667053223,21295.819772564344,21295.819772564344
7,0.3005332946777344,21285.204323105827,21285.204323105827
8,0.3420412540435791,21277.141316617053,21277.141316617053
9,0.39804577827453613,21272.263206576714,21272.263206576714
10,0.4345541000366211,21253.261463055558,21253.261463055558
11,0.4585549831390381,21247.22296753625,21247.22296753625
12,0.513068675994873,21235.280184997795,21235.280184997795
13,0.5210673809051514,21233.556227900946,21233.556227900946
14,0.5520682334899902,21222.861849616536,21222.861849616536
15,0.9141230583190918,21220.077794920722,21220.077794920722
16,0.935124397277832,21219.978659417902,21219.978659417902
17,0.9551262855529785,21170.093923430733,21170.093923430733
18,1.3611738681793213,21148.33591265732,21148.33591265732
19,1.9512505531311035,21141.54257618845,21141.54257618845
20,2.213892936706543,21132.656538244217,21132.656538244217
21,2.223893642425537,21128.721698685702,21128.721698685702
22,2.2408924102783203,21092.271339341463,21092.271339341463
23,3.238065004348755,21092.271339341463,21092.271339341463
24,4.199702739715576,21092.271339341463,21092.271339341463
25,5.118293762207031,21092.271339341463,21092.271339341467
26,6.020921230316162,21092.271339341463,21092.271339341467
27,6.857127904891968,21092.271339341463,21092.271339341467
28,7.770749807357788,21092.271339341463,21092.271339341467
29,8.378825426101685,21090.498857280418,21090.498857280418
30,9.034027338027954,21081.10450341665,21081.10450341665
31,9.93565058708191,21081.10450341665,21081.10450341665
32,10.878518342971802,21081.10450341665,21081.10450341665
33,11.772744178771973,21081.10450341665,21081.10450341665
34,12.716870546340942,21081.10450341665,21081.10450341665
35,13.552420616149902,21081.10450341665,21081.10450341665
36,14.364516973495483,21081.10450341665,21081.10450341665
37,14.89508867263794,21080.77003633352,21080.77003633352
38,15.774464130401611,21080.77003633352,21080.77003633352
39,16.623080253601074,21080.77003633352,21080.77003633352
40,17.566986560821533,21080.77003633352,21080.77003633352
41,18.41960382461548,21080.77003633352,21080.77003633352
42,19.289705276489258,21080.77003633352,21080.77003633352
43,20.1930091381073,21080.77003633352,21080.77003633352
44,21.11613941192627,21080.77003633352,21080.77003633352
45,22.028320789337158,21080.77003633352,21080.77003633352
46,22.893426179885864,21080.77003633352,21080.77003633352
47,23.800036668777466,21080.77003633352,21080.77003633352
48,24.6332368850708,21080.77003633352,21080.77003633352
49,25.50134253501892,21080.77003633352,21080.77003633352
50,26.35083031654358,21080.77003633352,21080.77003633352
51,27.12693214416504,21080.77003633352,21080.77003633352
52,28.01354193687439,21080.77003633352,21080.77003633352
53,28.889747619628906,21080.77003633352,21080.77003633352
54,29.762361764907837,21080.77003633352,21080.77003633352
55,30.702282190322876,21080.77003633352,21080.77003633352
56,31.64939856529236,21080.77003633352,21080.77003633352
57,32.601011514663696,21080.77003633352,21080.77003633352
58,33.59310173988342,21080.77003633352,21080.77003633352
59,34.49772644042969,21080.77003633352,21080.77003633352
60,35.43401098251343,21080.77003633352,21080.77003633352
61,36.275121450424194,21080.77003633352,21080.77003633352
62,37.20365309715271,21080.77003633352,21080.77003633352
63,38.11576962471008,21080.77003633352,21080.77003633352
64,39.062384605407715,21080.77003633352,21080.77003633352
65,39.994693994522095,21080.77003633352,21080.77003633352
66,40.81531763076782,21080.77003633352,21080.77003633352
67,41.62239623069763,21080.77003633352,21080.77003633352
68,42.4845016002655,21080.77003633352,21080.77003633352
69,43.41562867164612,21080.77003633352,21080.77003633352
70,44.21279501914978,21080.77003633352,21080.77003633352
71,45.04839491844177,21080.77003633352,21080.77003633352
72,45.969470739364624,21080.77003633352,21080.77003633352
73,46.84508752822876,21080.77003633352,21080.77003633352
74,47.71670413017273,21080.77003633352,21080.77003633352
75,48.67608046531677,21080.77003633352,21080.77003633352
76,49.52369141578674,21080.77003633352,21080.77003633352
77,50.52496886253357,21080.77003633352,21080.77003633352
78,51.392062187194824,21080.77003633352,21080.77003633352
79,52.250664949417114,21080.77003633352,21080.77003633352
80,53.11686134338379,21080.77003633352,21080.77003633352
81,54.11181044578552,21080.77003633352,21080.77003633352
82,55.09823679924011,21080.77003633352,21080.77003633352
83,56.06297945976257,21080.77003633352,21080.77003633352
84,57.01011252403259,21080.77003633352,21080.77003633352
85,57.95524764060974,21080.77003633352,21080.77003633352
86,58.782365798950195,21080.77003633352,21080.77003633352
87,59.633554220199585,21080.77003633352,21080.77003633352
88,60.43866205215454,21080.77003633352,21080.77003633352
89,61.28038167953491,21080.77003633352,21080.77003633352
90,62.23420786857605,21080.77003633352,21080.77003633352
91,63.19841241836548,21080.77003633352,21080.77003633352
92,64.02956080436707,21080.77003633352,21080.77003633352
93,64.93117380142212,21080.77003633352,21080.77003633352
94,65.739342212677,21080.77003633352,21080.77003633352
95,66.6174521446228,21080.77003633352,21080.77003633352
96,67.54557538032532,21080.77003633352,21080.77003633352
97,68.5297577381134,21080.77003633352,21080.77003633352
98,69.47636699676514,21080.77003633352,21080.77003633352
99,70.35116720199585,21080.77003633352,21080.77003633352
100,71.28579044342041,21080.77003633352,21080.77003633352
101,72.25416111946106,21080.77003633352,21080.77003633352
102,73.12177181243896,21080.77003633352,21080.77003633352
103,74.01887369155884,21080.77003633352,21080.77003633352
104,74.95376133918762,21080.77003633352,21080.77003633352
105,75.84437251091003,21080.77003633352,21080.77003633352
106,76.7671320438385,21080.77003633352,21080.77003633352
107,77.66674613952637,21080.77003633352,21080.77003633352
108,78.45286417007446,21080.77003633352,21080.77003633352
109,79.43672204017639,21080.77003633352,21080.77003633352
110,80.39332485198975,21080.77003633352,21080.77003633352
111,81.31323003768921,21080.77003633352,21080.77003633352
112,82.180832862854,21080.77003633352,21080.77003633352
113,83.11791205406189,21080.77003633352,21080.77003633352
114,84.02854561805725,21080.77003633352,21080.77003633352
115,84.95117235183716,21080.77003633352,21080.77003633352
116,85.74796915054321,21080.77003633352,21080.77003633352
117,86.62559723854065,21080.77003633352,21080.77003633352
118,87.530757188797,21080.77003633352,21080.77003633352
119,88.31034564971924,21080.77003633352,21080.77003633352
120,89.15795707702637,21080.77003633352,21080.77003633352
121,89.9586660861969,21080.77003633352,21080.77003633352
122,90.80376815795898,21080.77003633352,21080.77003633352
123,91.57286787033081,21080.77003633352,21080.77003633352
124,92.34161925315857,21080.77003633352,21080.77003633352
125,93.18871974945068,21080.77003633352,21080.77003633352
126,94.0126838684082,21080.77003633352,21080.77003633352
127,94.79635167121887,21080.77003633352,21080.77003633352
128,95.68096446990967,21080.77003633352,21080.77003633352
129,96.53865504264832,21080.77003633352,21080.77003633352
130,97.5222692489624,21080.77003633352,21080.77003633352
131,98.43933916091919,21080.77003633352,21080.77003633352
132,99.17543053627014,21080.77003633352,21080.77003633352
133,100.09704399108887,21080.77003633352,21080.77003633352
134,100.93313193321228,21080.77003633352,21080.77003633352
135,101.81923007965088,21080.77003633352,21080.77003633352
136,102.65183305740356,21080.77003633352,21080.77003633352
137,103.50222420692444,21080.77003633352,21080.77003633352
138,104.3528356552124,21080.77003633352,21080.77003633352
139,105.14536046981812,21080.77003633352,21080.77003633352
140,105.99445939064026,21080.77003633352,21080.77003633352
141,106.87806749343872,21080.77003633352,21080.77003633352
142,107.71010541915894,21080.77003633352,21080.77003633352
143,108.57171845436096,21080.77003633352,21080.77003633352
144,109.39303803443909,21080.77003633352,21080.77003633352
145,110.32464909553528,21080.77003633352,21080.77003633352
146,111.36128520965576,21080.77003633352,21080.77003633352
147,112.20193409919739,21080.77003633352,21080.77003633352
148,113.0285472869873,21080.77003633352,21080.77003633352
149,113.9294958114624,21080.77003633352,21080.77003633352
150,114.83312559127808,21080.77003633352,21080.77003633352
151,115.74674034118652,21080.77003633352,21080.77003633352
152,116.66459894180298,21080.77003633352,21080.77003633352
153,117.48971056938171,21080.77003633352,21080.77003633352
154,118.32545924186707,21080.77003633352,21080.77003633352
155,119.16106748580933,21080.77003633352,21080.77003633352
156,119.9591805934906,21080.77003633352,21080.77003633352
157,120.82714343070984,21080.77003633352,21080.77003633352
158,121.76326107978821,21080.77003633352,21080.77003633352
159,122.64871120452881,21080.77003633352,21080.77003633352
160,123.48681473731995,21080.77003633352,21080.77003633352
