Iteration,Time,BestCost,CurrentCost
0,0.7376635074615479,91761.11613642985,91761.11613642985
1,3.841614246368408,91506.7290327884,91506.7290327884
2,7.247481822967529,91260.69629871579,91260.69629871579
3,10.847694158554077,91010.78705449503,91010.78705449503
4,14.284526586532593,90825.79900567472,90825.79900567472
5,17.636066198349,90644.02684002588,90644.02684002588
6,21.112355947494507,90482.36739569821,90482.36739569821
7,24.641449213027954,90339.07879623502,90339.07879623502
8,27.95201301574707,90198.04719925098,90198.04719925098
9,31.523977756500244,90071.5286817756,90071.5286817756
10,35.07664680480957,89942.87263648475,89942.87263648475
11,38.48105597496033,89827.40307263157,89827.40307263157
12,41.9378399848938,89717.33549492512,89717.33549492512
13,45.34947848320007,89525.0829013692,89525.0829013692
14,49.19037222862244,89416.3492254623,89416.3492254623
15,52.65112233161926,89323.68601597896,89323.68601597896
16,56.08650827407837,89237.03491536989,89237.03491536989
17,59.9649760723114,89161.66013276264,89161.66013276264
18,63.38820004463196,89082.6713770074,89082.6713770074
19,67.06190085411072,89010.72210425332,89010.72210425332
20,70.60804295539856,88943.20278012361,88943.20278012361
21,74.33140683174133,88880.67173441299,88880.67173441299
22,77.98714876174927,88819.97195466943,88819.97195466943
23,81.68931150436401,88764.4006356425,88764.4006356425
24,85.44650983810425,88708.38925430774,88708.38925430774
25,89.30268335342407,88654.14153023045,88654.14153023045
26,92.84092259407043,88600.25718271876,88600.25718271876
27,96.29249429702759,88548.60649660822,88548.60649660822
28,100.00956344604492,88504.53277970929,88504.53277970929
29,103.52270579338074,88467.043429782,88467.043429782
30,107.07872200012207,88430.14203221153,88430.14203221153
31,110.99977803230286,88395.60875614964,88395.60875614964
32,114.57193756103516,88361.50242879674,88361.50242879674
33,118.2961597442627,88327.43279429276,88327.43279429276
