Iteration,Time,BestCost,CurrentCost
0,0.6935958862304688,91761.11613642985,91761.11613642985
1,0.6975958347320557,91760.97281188547,91760.97281188547
2,0.7045958042144775,91754.39757141407,91754.39757141407
3,0.7065954208374023,91749.19641700796,91749.19641700796
4,0.7105956077575684,91738.70978261891,91738.70978261891
5,0.7235970497131348,91733.25138622877,91733.25138622877
6,0.725595235824585,91705.42210995476,91705.42210995476
7,0.7295961380004883,91685.0376075813,91685.0376075813
8,0.7415955066680908,91683.47016622817,91683.47016622817
9,0.7475957870483398,91682.5724112945,91682.5724112945
10,0.7605946063995361,91673.55098201794,91673.55098201794
11,0.7826015949249268,91669.47598324885,91669.47598324885
12,0.7875995635986328,91641.70143783613,91641.70143783613
13,0.7941088676452637,91638.14470658501,91638.14470658501
14,0.8011085987091064,91633.02385433947,91633.02385433947
15,0.8011085987091064,91629.45865947631,91629.45865947631
16,0.8201098442077637,91615.67499114542,91615.67499114542
17,0.821108341217041,91599.41987754598,91599.41987754598
18,0.8241093158721924,91598.82767060283,91598.82767060283
19,0.8341085910797119,91583.77958091916,91583.77958091916
20,0.8341085910797119,91573.45181247691,91573.45181247691
21,0.8401081562042236,91561.26183892602,91561.26183892602
22,0.8511080741882324,91560.84074698684,91560.84074698684
23,0.8531081676483154,91558.58721080315,91558.58721080315
24,0.8896200656890869,91547.53012960713,91547.53012960713
25,0.8956212997436523,91510.04077967984,91510.04077967984
26,0.8966200351715088,91506.01715111868,91506.01715111868
27,0.899620771408081,91495.46562064944,91495.46562064944
28,0.907620906829834,91493.23666585496,91493.23666585496
29,0.9126200675964355,91491.6085249805,91491.6085249805
30,0.9156200885772705,91491.24931168358,91491.24931168358
31,0.9166200160980225,91489.19516505295,91489.19516505295
32,0.9206256866455078,91469.4204568279,91469.4204568279
33,0.9296207427978516,91465.45162843465,91465.45162843465
34,0.9376201629638672,91434.10792347086,91434.10792347086
35,0.9376201629638672,91402.07721247789,91402.07721247789
36,0.9676196575164795,91385.80835066612,91385.80835066612
37,0.9766256809234619,91366.48586105403,91366.48586105403
38,0.9766256809234619,91360.07367602993,91360.07367602993
39,0.9826245307922363,91354.91272394513,91354.91272394513
40,1.0121369361877441,91259.24837111682,91259.24837111682
41,1.019136905670166,91246.02356544674,91246.02356544674
42,1.0401358604431152,91235.59418734096,91235.59418734096
43,1.0641374588012695,91234.15608934742,91234.15608934742
44,1.0651359558105469,91233.82418580595,91233.82418580595
45,1.0681369304656982,91187.70899736088,91187.70899736088
46,1.1016457080841064,91164.80146433382,91164.80146433382
47,1.1406469345092773,91161.10247278806,91161.10247278806
48,1.1416456699371338,91158.2020802599,91158.2020802599
49,1.1446454524993896,91145.67853293708,91145.67853293708
50,1.1676456928253174,91129.80481059643,91129.80481059643
51,1.1876492500305176,91129.77270952372,91129.77270952372
52,1.271165370941162,91079.50956127858,91079.50956127858
53,1.2871687412261963,91078.81318620496,91078.81318620496
54,1.2966828346252441,91050.7960543626,91050.7960543626
55,1.3106820583343506,91034.82228464416,91034.82228464416
56,1.4311964511871338,91012.7343375362,91012.7343375362
57,1.4381957054138184,91012.69767924983,91012.69767924983
58,1.4491968154907227,90997.8264662212,90997.8264662212
59,1.4541962146759033,90994.12162749053,90994.12162749053
60,1.4571962356567383,90993.12091855607,90993.12091855607
61,1.5147075653076172,90976.20326149324,90976.20326149324
62,1.7247304916381836,90960.53536062795,90960.53536062795
63,1.8581790924072266,90958.96487619144,90958.96487619144
64,1.8740310668945312,90956.42820750302,90956.42820750302
65,1.927910566329956,90954.39847612265,90954.39847612265
66,2.0382308959960938,90929.37342787256,90929.37342787256
67,2.0542306900024414,90924.61800488661,90924.61800488661
68,2.0632309913635254,90923.18232540406,90923.18232540406
69,2.0652310848236084,90909.04632364151,90909.04632364151
70,2.1157419681549072,90707.1023936738,90707.1023936738
71,2.1157419681549072,90701.95328737742,90701.95328737742
72,2.1597423553466797,90676.51023803979,90676.51023803979
73,2.163743257522583,90655.32785039689,90655.32785039689
74,2.1647422313690186,90643.90803210175,90643.90803210175
75,2.171743869781494,90633.77171218494,90633.77171218494
76,2.174746036529541,90627.80358245644,90627.80358245644
77,2.182745933532715,90604.09332830567,90604.09332830567
78,2.18774676322937,90602.46449680394,90602.46449680394
79,2.2582573890686035,90600.82533527829,90600.82533527829
80,2.2742621898651123,90599.58936035057,90599.58936035057
81,2.3047690391540527,90589.16803287329,90589.16803287329
82,2.3477694988250732,90586.45667909837,90586.45667909837
