Iteration,Time,BestCost,CurrentCost
0,0.1979982852935791,85458.1615109964,85458.1615109964
1,9.988672018051147,85406.62234206236,85406.62234206236
2,19.614134311676025,85367.70218465247,85367.70218465247
3,29.079434156417847,85335.99244781464,85335.99244781464
4,38.925015926361084,85313.65607378722,85313.65607378722
5,48.29240870475769,85293.33155200962,85293.33155200962
6,57.18440890312195,85275.25600901947,85275.25600901947
7,66.83784794807434,85257.42980901766,85257.42980901766
8,76.37142944335938,85243.77084070287,85243.77084070287
9,85.96960830688477,85230.68920767026,85230.68920767026
10,95.15542316436768,85218.44228614222,85218.44228614222
11,104.81383275985718,85203.48637736215,85203.48637736215
12,114.39708685874939,85191.36508910709,85191.36508910709
13,123.4811520576477,85179.56949518608,85179.56949518608
14,133.30351543426514,85167.82093506608,85167.82093506608
15,142.69027757644653,85156.3295019536,85156.3295019536
16,152.116459608078,85146.04307589914,85146.04307589914
17,163.03527641296387,85120.18415012602,85120.18415012602
18,176.4312605857849,85109.98096222179,85109.98096222179
19,188.45725226402283,85100.02268812033,85100.02268812033
20,198.39376425743103,85090.9636297686,85090.9636297686
21,208.26304602622986,85084.0421959342,85084.0421959342
22,218.14786410331726,85077.2734193502,85077.2734193502
23,227.7411768436432,85070.52434770817,85070.52434770817
24,237.5890510082245,85064.25143318246,85064.25143318246
25,247.599294424057,85058.0884439907,85058.0884439907
26,257.45798420906067,85052.13907678165,85052.13907678165
27,267.28295516967773,85047.44875115513,85047.44875115513
28,276.51296877861023,85042.8935059529,85042.8935059529
29,286.3009605407715,85038.5227667327,85038.5227667327
30,295.6794967651367,85034.33570559236,85034.33570559236
31,305.7332196235657,85030.47804362272,85030.47804362272
32,315.85570430755615,85026.7496382131,85026.7496382131
33,325.35313177108765,85023.28498355202,85023.28498355202
34,335.0258147716522,85019.88067573284,85019.88067573284
35,344.26003241539,85002.06627425687,85002.06627425687
36,353.34068727493286,84998.79487608107,84998.79487608107
37,362.6851875782013,84995.63696948245,84995.63696948245
38,372.27982568740845,84992.50402001514,84992.50402001514
39,381.9125964641571,84990.58304596793,84990.58304596793
40,391.56928849220276,84988.72954612195,84988.72954612195
41,401.0711417198181,84987.67232918103,84987.67232918103
42,410.79663586616516,84985.4663314853,84985.4663314853
43,420.3816361427307,84984.48191745415,84984.48191745415
44,429.913281917572,84982.32444149304,84982.32444149304
45,439.9240951538086,84981.39460237224,84981.39460237224
46,449.6745870113373,84980.68818701831,84980.68818701831
47,459.69837379455566,84980.07157069327,84980.07157069327
48,469.4251961708069,84979.49162532015,84979.49162532015
49,479.6704776287079,84978.97923375176,84978.97923375176
50,489.2135372161865,84978.72785263498,84978.72785263498
51,499.1456916332245,84978.63145048825,84978.63145048825
52,508.56709003448486,84969.14028300311,84969.14028300311
53,517.900866985321,84961.14926295275,84961.14926295275
54,528.0208826065063,84961.1148869066,84961.1148869066
55,537.5649106502533,84961.1148869066,84961.1148869066
56,547.2134697437286,84961.1148869066,84961.1148869066
57,556.5496456623077,84961.1148869066,84961.1148869066
58,566.1817479133606,84961.1148869066,84961.1148869066
59,575.5048506259918,84960.85670426187,84960.85670426187
60,584.9140875339508,84960.85670426187,84960.85670426187
61,594.8003077507019,84960.85670426187,84960.85670426187
62,603.9951512813568,84960.85670426187,84960.85670426187
63,613.3743901252747,84960.85670426187,84960.85670426187
64,622.9464492797852,84960.85670426184,84960.85670426184
65,632.292147397995,84960.85670426184,84960.85670426184
66,641.8549017906189,84960.85670426184,84960.85670426184
67,651.462158203125,84960.85670426184,84960.85670426184
68,660.9526674747467,84960.85670426184,84960.85670426184
69,670.3053367137909,84960.85670426184,84960.85670426184
70,679.7722547054291,84960.85670426184,84960.85670426184
71,689.3269848823547,84960.85670426184,84960.85670426184
72,699.3972370624542,84960.85670426184,84960.85670426184
73,709.146407365799,84960.85670426184,84960.85670426184
74,719.2724359035492,84960.85670426184,84960.85670426184
75,728.7232758998871,84960.85670426184,84960.85670426184
76,738.46435546875,84960.85670426184,84960.85670426184
77,747.7488758563995,84960.85670426184,84960.85670426184
78,757.4862337112427,84960.85670426184,84960.85670426184
79,767.0880100727081,84960.85670426184,84960.85670426184
80,776.3811612129211,84960.85670426184,84960.85670426184
81,785.4691319465637,84960.85670426184,84960.85670426184
82,794.7830319404602,84960.85670426184,84960.85670426184
83,804.7257132530212,84960.85670426184,84960.85670426184
84,814.4265003204346,84960.85670426184,84960.85670426184
85,823.9090433120728,84960.85670426184,84960.85670426184
86,833.7054612636566,84960.85670426184,84960.85670426184
87,843.0913689136505,84960.85670426184,84960.85670426184
88,852.7199642658234,84960.85670426184,84960.85670426184
89,862.7338128089905,84960.85670426184,84960.85670426184
90,872.5068695545197,84960.85670426184,84960.85670426184
91,882.3258333206177,84960.85670426184,84960.85670426184
92,891.5312860012054,84960.85670426184,84960.85670426184
93,901.3957114219666,84960.85670426184,84960.85670426184
94,911.5565941333771,84958.85190423025,84958.85190423025
95,921.5132386684418,84940.36683737891,84940.36683737891
96,931.558899641037,84937.78497258616,84937.78497258616
97,941.1608645915985,84937.78497258616,84937.78497258616
98,951.0316905975342,84937.78497258616,84937.78497258616
99,960.8271842002869,84937.78497258616,84937.78497258616
100,970.2455406188965,84937.78497258616,84937.78497258616
101,979.457845211029,84937.78497258616,84937.78497258616
102,989.0851700305939,84937.78497258616,84937.78497258616
103,998.9118030071259,84937.78497258616,84937.78497258616
104,1008.710286617279,84937.78497258616,84937.78497258616
105,1018.4634582996368,84937.78497258616,84937.78497258616
106,1028.0990908145905,84937.78497258616,84937.78497258616
107,1038.3522658348083,84937.78497258616,84937.78497258616
108,1047.5834488868713,84937.78497258616,84937.78497258616
109,1057.2278697490692,84937.78497258616,84937.78497258616
110,1067.0979208946228,84937.78497258616,84937.78497258616
111,1076.405752658844,84937.78497258616,84937.78497258616
112,1085.9800298213959,84937.78497258616,84937.78497258616
113,1095.2724857330322,84937.78497258616,84937.78497258619
114,1105.2594335079193,84937.78497258616,84937.78497258619
115,1115.0686507225037,84937.78497258616,84937.78497258619
116,1124.383057832718,84937.78497258616,84937.78497258619
117,1134.3079800605774,84937.78497258616,84937.78497258616
118,1143.9633481502533,84937.78497258616,84937.78497258616
119,1153.6945097446442,84937.78497258616,84937.78497258616
120,1163.2438476085663,84937.78497258616,84937.78497258616
121,1173.3215272426605,84937.78497258616,84937.78497258616
122,1183.194091796875,84937.78497258616,84937.78497258616
123,1192.6556210517883,84937.78497258616,84937.78497258616
124,1202.4178230762482,84937.78497258616,84937.78497258616
125,1211.9752509593964,84937.78497258616,84937.78497258616
126,1221.5299909114838,84937.78497258616,84937.78497258616
127,1231.0872781276703,84937.78497258616,84937.78497258616
128,1240.757933139801,84937.78497258616,84937.78497258616
129,1250.217140674591,84937.78497258616,84937.78497258616
130,1259.8315732479095,84937.78497258616,84937.78497258616
131,1269.8214812278748,84937.78497258616,84937.78497258616
132,1279.525557756424,84937.78497258616,84937.78497258616
133,1289.2788569927216,84937.78497258616,84937.78497258616
134,1298.9261441230774,84937.78497258616,84937.78497258616
135,1308.9352095127106,84937.78497258616,84937.78497258616
136,1318.7580416202545,84937.78497258616,84937.78497258616
137,1328.125015258789,84932.12112859891,84932.12112859891
138,1337.3564217090607,84929.98780005815,84929.98780005815
139,1346.6971368789673,84928.8481074235,84928.8481074235
140,1356.597267627716,84928.8481074235,84928.8481074235
141,1366.324004650116,84928.8481074235,84928.8481074235
142,1376.4700694084167,84928.8481074235,84928.8481074235
143,1386.591171503067,84928.8481074235,84928.8481074235
144,1396.1693000793457,84928.8481074235,84928.8481074235
145,1405.8151695728302,84928.8481074235,84928.8481074235
146,1415.4036312103271,84928.8481074235,84928.8481074235
147,1424.9161303043365,84928.8481074235,84928.8481074235
148,1434.4703352451324,84928.8481074235,84928.8481074235
149,1443.8139069080353,84928.8481074235,84928.8481074235
150,1453.441349029541,84928.8481074235,84928.8481074235
151,1463.3503341674805,84928.8481074235,84928.8481074235
152,1472.9518184661865,84928.8481074235,84928.84810742353
153,1482.4630274772644,84928.8481074235,84928.8481074235
154,1492.1429452896118,84928.8481074235,84928.8481074235
155,1501.441083908081,84928.8481074235,84928.8481074235
156,1511.0952155590057,84928.8481074235,84928.8481074235
157,1520.4108383655548,84928.8481074235,84928.8481074235
158,1529.845427274704,84928.8481074235,84928.8481074235
159,1539.5789823532104,84928.8481074235,84928.8481074235
160,1549.291401386261,84928.8481074235,84928.8481074235
161,1558.9392819404602,84928.8481074235,84928.8481074235
162,1568.6420531272888,84928.8481074235,84928.8481074235
163,1578.455161333084,84928.8481074235,84928.84810742353
164,1588.0157890319824,84928.8481074235,84928.84810742353
165,1597.6030774116516,84928.8481074235,84928.84810742353
166,1607.181452512741,84928.8481074235,84928.84810742353
167,1616.876032114029,84928.8481074235,84928.84810742353
168,1626.6807885169983,84928.8481074235,84928.84810742353
169,1635.9040269851685,84928.8481074235,84928.84810742353
170,1645.5269334316254,84928.8481074235,84928.84810742353
171,1655.025485754013,84928.8481074235,84928.84810742353
172,1664.704113483429,84928.8481074235,84928.84810742353
173,1674.1751112937927,84928.8481074235,84928.84810742353
174,1683.7346124649048,84928.8481074235,84928.84810742353
175,1693.1368486881256,84928.8481074235,84928.84810742353
176,1703.3101749420166,84928.8481074235,84928.84810742353
177,1713.233395576477,84928.8481074235,84928.84810742353
178,1722.8376688957214,84928.8481074235,84928.84810742353
179,1732.7792003154755,84928.8481074235,84928.84810742353
180,1742.6018540859222,84928.8481074235,84928.84810742353
181,1752.271995306015,84928.8481074235,84928.84810742353
182,1761.4314799308777,84928.8481074235,84928.84810742353
183,1771.125471830368,84928.8481074235,84928.84810742353
184,1781.346069097519,84928.8481074235,84928.84810742353
185,1790.7840249538422,84928.8481074235,84928.84810742353
