Iteration,Time,BestCost,CurrentCost
0,0.9097881317138672,80658.19952696965,80658.19952696965
1,10.370761632919312,80563.62702619801,80563.62702619801
2,20.586642026901245,80470.75241488118,80470.75241488118
3,30.42507529258728,80386.65563462199,80386.65563462199
4,40.2681097984314,80306.93259916536,80306.93259916536
5,50.093201875686646,80239.0256945726,80239.0256945726
6,59.3381929397583,80172.80693302836,80172.80693302836
7,68.81915593147278,80109.09151690803,80109.09151690803
8,78.50526189804077,80045.46593303586,80045.46593303586
9,88.34170746803284,79977.95104993318,79977.95104993318
10,97.62392234802246,79918.0192619445,79918.0192619445
11,107.22647976875305,79858.16292473755,79858.16292473755
12,117.0342915058136,79798.8635711759,79798.8635711759
