Iteration,Time,BestCost,CurrentCost
0,0.3898296356201172,77235.31795903451,77235.31795903451
1,22.507940769195557,77184.54251529685,77184.54251529685
2,44.41965889930725,77145.5763809026,77145.5763809026
3,67.41353440284729,77112.65451986449,77112.65451986449
4,90.30453777313232,77082.26769423537,77082.26769423537
5,112.24537754058838,77056.34298189713,77056.34298189713
6,134.66202425956726,77030.99270894409,77030.99270894409
7,157.06691884994507,77005.92771237071,77005.92771237071
8,179.80799555778503,76982.29226172913,76982.29226172913
9,202.13336730003357,76959.60777985145,76959.60777985145
10,224.5112726688385,76938.11018359038,76938.11018359038
11,247.72426843643188,76909.38141278281,76909.38141278281
12,269.96553921699524,76889.67450538777,76889.67450538777
13,292.36333537101746,76870.28080682567,76870.28080682567
14,314.78917145729065,76854.39495694317,76854.39495694317
15,337.4865252971649,76833.25727799392,76833.25727799392
16,360.3309495449066,76817.42052426157,76817.42052426157
17,382.61884927749634,76802.79206180661,76802.79206180661
18,404.86535906791687,76788.36635554682,76788.36635554682
19,427.55492067337036,76774.00920923571,76774.00920923571
20,450.13308238983154,76760.04935199227,76760.04935199227
21,472.7005522251129,76743.83134210382,76743.83134210382
22,495.72073698043823,76727.48642364051,76727.48642364051
23,517.6692252159119,76713.73316418572,76713.73316418572
24,540.698915719986,76700.11834782049,76700.11834782049
25,563.6385724544525,76686.56665584883,76686.56665584883
26,586.1502058506012,76673.61628886705,76673.61628886705
27,609.1164538860321,76660.81059042088,76660.81059042088
28,631.9932234287262,76628.45627335044,76628.45627335044
29,654.4499144554138,76616.54262993252,76616.54262993252
30,678.3748064041138,76605.28526243237,76605.28526243237
31,701.7367269992828,76594.7874839394,76594.7874839394
32,725.0364580154419,76585.8497416877,76585.8497416877
33,747.6068696975708,76577.07398056524,76577.07398056524
34,770.008472442627,76568.51822026828,76568.51822026828
35,792.8595123291016,76560.05336728829,76560.05336728829
36,815.6647684574127,76551.69292422789,76551.69292422789
37,837.6718707084656,76543.69164454596,76543.69164454596
38,860.2618083953857,76535.77099098546,76535.77099098546
39,883.5751178264618,76528.14729736515,76528.14729736515
40,905.3085622787476,76520.93627707975,76520.93627707975
41,927.777302980423,76513.87764912471,76513.87764912471
42,949.9646501541138,76506.82550314975,76506.82550314975
43,972.6566135883331,76499.89492794071,76499.89492794071
44,995.5107579231262,76483.7504256377,76483.7504256377
45,1018.2928702831268,76476.88995006973,76476.88995006973
46,1040.7776560783386,76470.66591502872,76470.66591502872
47,1063.7340998649597,76464.70950086882,76464.70950086882
48,1085.9574885368347,76453.41480389067,76453.41480389067
49,1109.1076138019562,76447.45883539577,76447.45883539577
50,1131.4500088691711,76443.0757539375,76443.0757539375
51,1153.86740732193,76438.84121126369,76438.84121126369
52,1176.49440574646,76434.64539877823,76434.64539877823
53,1199.3640449047089,76430.45027712401,76430.45027712401
54,1221.7365610599518,76419.32341902192,76419.32341902192
55,1244.5528643131256,76415.26633744233,76415.26633744233
56,1267.3145921230316,76408.04530548085,76408.04530548085
57,1289.4940404891968,76402.39407041213,76402.39407041213
58,1312.5918521881104,76392.59721094846,76392.59721094846
59,1335.0441524982452,76388.58644099135,76388.58644099135
60,1357.394838809967,76384.9629060541,76384.9629060541
61,1379.7833836078644,76381.69505631347,76381.69505631347
62,1402.548053264618,76378.8253728018,76378.8253728018
63,1425.233853816986,76376.18696934133,76376.18696934133
64,1447.7018690109253,76373.57093277814,76373.57093277814
65,1471.3006179332733,76371.32633393569,76371.32633393569
66,1493.9200649261475,76369.19547421066,76369.19547421066
67,1516.442556142807,76367.77635349797,76367.77635349797
68,1539.701339483261,76366.4526503749,76366.4526503749
69,1562.7032103538513,76365.43481751866,76365.43481751866
70,1584.7718243598938,76364.50196178805,76364.50196178805
71,1606.9270060062408,76363.952460839,76363.952460839
72,1629.697429895401,76363.77992394389,76363.77992394389
73,1652.3302245140076,76354.96430974077,76354.96430974077
74,1674.6525263786316,76324.54902528641,76324.54902528641
75,1696.7270123958588,76315.25003057967,76315.25003057967
76,1719.3123590946198,76315.08170450278,76315.08170450278
77,1742.897409915924,76315.08170450278,76315.08170450278
78,1765.7882635593414,76315.08170450278,76315.08170450278
79,1787.8315365314484,76315.08170450278,76315.08170450278
