Iteration,Time,BestCost,CurrentCost
0,0.4260540008544922,77235.31795903451,77235.31795903451
1,0.9386167526245117,77234.69592048363,77234.69592048363
2,1.2079648971557617,77224.02869456599,77224.02869456599
3,1.2244749069213867,77220.78012505919,77220.78012505919
4,1.2254750728607178,77213.58797961185,77213.58797961185
5,1.9210708141326904,77190.90349773417,77190.90349773417
6,1.9735846519470215,77189.56999380402,77189.56999380402
7,1.9915847778320312,77189.03878691775,77189.03878691775
8,2.015584707260132,77182.26525092768,77182.26525092768
9,2.2561252117156982,77168.37061209559,77168.37061209559
10,2.2561252117156982,77162.97793480365,77162.97793480365
11,2.260126829147339,77162.80539790854,77162.80539790854
12,2.4601528644561768,77158.89306206926,77158.89306206926
13,2.48915696144104,77146.97941865133,77146.97941865133
14,2.640671968460083,77133.22615919654,77133.22615919654
15,2.651179075241089,77124.82077265932,77124.82077265932
16,2.6741814613342285,77124.65244658243,77124.65244658243
17,2.693179130554199,77122.11519909374,77122.11519909374
18,2.7161805629730225,77105.02747350573,77105.02747350573
19,3.1272342205047607,77082.8779421421,77082.8779421421
20,3.168747901916504,77074.41308916212,77074.41308916212
21,3.1717476844787598,77054.70618176708,77054.70618176708
22,3.2492685317993164,77052.90847298202,77052.90847298202
23,4.15667986869812,77037.45061301505,77037.45061301505
24,4.534225702285767,77025.34292462915,77025.34292462915
25,5.034789085388184,77021.7193896919,77021.7193896919
26,5.120300054550171,77018.45153995127,77018.45153995127
27,5.666791915893555,77005.92581514268,77005.92581514268
28,6.053836107254028,77003.5207473017,77003.5207473017
29,6.088836669921875,76986.8783452366,76986.8783452366
30,6.190349340438843,76978.71933055688,76978.71933055688
31,6.219348430633545,76955.3010865395,76955.3010865395
32,6.253860235214233,76954.28325368327,76954.28325368327
33,6.258859872817993,76954.0842916347,76954.0842916347
34,6.269860744476318,76949.84974896089,76949.84974896089
35,6.303860902786255,76936.47625265026,76936.47625265026
36,6.3108601570129395,76932.3134065698,76932.3134065698
37,6.600404262542725,76920.55649217557,76920.55649217557
38,6.816426515579224,76904.71973844321,76904.71973844321
39,6.934941530227661,76902.88831694069,76902.88831694069
40,6.937942028045654,76900.10341771976,76900.10341771976
41,9.294686794281006,76891.28780351664,76891.28780351664
42,9.299686431884766,76891.09938522319,76891.09938522319
43,9.789241552352905,76888.47241415271,76888.47241415271
44,9.791241645812988,76880.11197109232,76880.11197109232
