Instancia,Dimensao,Experimento,Heuristica,EstrategiaBusca,Intensificacao,Diversificacao,CustoInicial,CustoFinal,MelhoriaPercentual,TempoTotal,Iteracoes,DescricaoCenario
X-n101-k25,101,Req3_Ext_savings_first,savings,first,False,False,28941.984425178514,28592.31847030542,1.2081616441231169,587.8370110988617,10222,Construtiva Estendida (first)
X-n101-k25,101,Req3_Ext_savings_best,savings,best,False,False,28941.984425178514,28603.57025245311,1.16928462041115,584.9510095119476,10012,Construtiva Estendida (best)
X-n101-k25,101,Req3_Ext_cheapest_insertion_first,cheapest_insertion,first,False,False,35949.83633910607,30393.439402587595,15.455972828655831,584.5435366630554,10134,Construtiva Estendida (first)
X-n101-k25,101,Req3_Ext_cheapest_insertion_best,cheapest_insertion,best,False,False,35949.83633910607,29694.31719780743,17.4006887883768,556.4559795856476,10052,Construtiva Estendida (best)
X-n101-k25,101,Req3_Ext_route_first_cluster_second_first,route_first_cluster_second,first,False,False,30879.141714897447,28977.064932824873,6.15974627673971,600.0324404239655,9724,Construtiva Estendida (first)
X-n101-k25,101,Req3_Ext_route_first_cluster_second_best,route_first_cluster_second,best,False,False,30879.141714897447,29439.621336357886,4.661788827650844,600.0401418209076,8704,Construtiva Estendida (best)
X-n204-k19,204,Req3_Ext_savings_first,savings,first,False,False,21377.70902709986,21085.898511458865,1.3650223944533793,600.1400940418243,1805,Construtiva Estendida (first)
X-n204-k19,204,Req3_Ext_savings_best,savings,best,False,False,21377.70902709986,21085.898511458865,1.3650223944533793,600.0591239929199,1769,Construtiva Estendida (best)
X-n204-k19,204,Req3_Ext_cheapest_insertion_first,cheapest_insertion,first,False,False,24504.08089522953,22162.598294067597,9.55548021235016,600.258175611496,1765,Construtiva Estendida (first)
X-n204-k19,204,Req3_Ext_cheapest_insertion_best,cheapest_insertion,best,False,False,24504.08089522953,21450.755272990533,12.460478053814377,600.1687405109406,1641,Construtiva Estendida (best)
X-n204-k19,204,Req3_Ext_route_first_cluster_second_first,route_first_cluster_second,first,False,False,22248.31319343141,20880.46368930684,6.148104317986753,600.0128586292267,1553,Construtiva Estendida (first)
X-n204-k19,204,Req3_Ext_route_first_cluster_second_best,route_first_cluster_second,best,False,False,22248.31319343141,20837.688522673314,6.340366833628404,600.3261828422546,1415,Construtiva Estendida (best)
X-n303-k21,303,Req3_Ext_savings_first,savings,first,False,False,23728.971289113742,23517.505756911163,0.8911702476524732,600.4513263702393,949,Construtiva Estendida (first)
X-n303-k21,303,Req3_Ext_savings_best,savings,best,False,False,23728.971289113742,23523.107558743428,0.8675628111394764,600.1150782108307,916,Construtiva Estendida (best)
X-n303-k21,303,Req3_Ext_cheapest_insertion_first,cheapest_insertion,first,False,False,30809.13054581261,24211.004419374076,21.41613868858533,600.6904098987579,1040,Construtiva Estendida (first)
X-n303-k21,303,Req3_Ext_cheapest_insertion_best,cheapest_insertion,best,False,False,30809.13054581261,23932.157905583794,22.321216205705273,600.1185772418976,784,Construtiva Estendida (best)
X-n303-k21,303,Req3_Ext_route_first_cluster_second_first,route_first_cluster_second,first,False,False,25638.330275786822,23466.63195812449,8.470513852898264,600.2064354419708,878,Construtiva Estendida (first)
X-n303-k21,303,Req3_Ext_route_first_cluster_second_best,route_first_cluster_second,best,False,False,25638.330275786822,23531.67963059689,8.216801260179887,600.1038191318512,730,Construtiva Estendida (best)
