Iteration,Time,BestCost,CurrentCost
0,0.055214881896972656,24504.08089522953,24504.08089522953
1,0.4033925533294678,24109.499524471026,24109.499524471026
2,0.8443787097930908,23958.011582743136,23958.011582743136
3,1.2144389152526855,23866.398177194304,23866.398177194304
4,1.5975215435028076,23225.17266669309,23225.17266669309
5,1.9836101531982422,23045.337618813584,23045.337618813584
6,2.364837646484375,22884.354716200785,22884.354716200785
7,2.7794172763824463,22795.168160794543,22795.168160794543
8,3.1826531887054443,22698.935079023904,22698.935079023904
9,3.568202018737793,22619.87713139667,22619.87713139667
10,3.946798801422119,22545.373858516465,22545.373858516465
11,4.343465089797974,22475.06714864964,22475.06714864964
12,4.738373756408691,22391.98024108582,22391.98024108582
13,5.0792975425720215,22337.7415214202,22337.7415214202
14,5.431319952011108,22286.992196185263,22286.992196185263
15,5.816893100738525,22238.214611279516,22238.214611279516
16,6.198955774307251,22166.391189502137,22166.391189502137
17,6.606039762496948,22128.876969307985,22128.876969307985
18,6.97481894493103,22092.23307689587,22092.23307689587
19,7.445425748825073,22059.50588058815,22059.50588058815
20,7.842009544372559,21896.10025944976,21896.10025944976
21,8.212068319320679,21834.007228112405,21834.007228112405
22,8.602187395095825,21800.748843973353,21800.748843973353
23,8.995720386505127,21775.07436418693,21775.07436418693
24,9.397250890731812,21754.032450175644,21754.032450175644
25,9.779827356338501,21743.121090702934,21743.121090702934
26,10.147369146347046,21726.51853678853,21726.51853678853
27,10.49985146522522,21706.70568561813,21706.70568561813
28,10.928478717803955,21695.931151458484,21695.931151458484
29,11.304068326950073,21668.55465443736,21668.55465443736
30,11.677369594573975,21641.854545348826,21641.854545348826
31,12.038924217224121,21615.801753828855,21615.801753828855
32,12.418457746505737,21610.851550359916,21610.851550359916
33,12.77743911743164,21606.48105361541,21606.48105361541
34,13.14546537399292,21601.502312452736,21601.502312452736
35,13.500703573226929,21593.34812637108,21593.34812637108
36,13.880002737045288,21589.10885789827,21589.10885789827
37,14.251118183135986,21585.550612891042,21585.550612891042
38,14.623677730560303,21572.28499150508,21572.28499150508
39,14.97472357749939,21569.58934322902,21569.58934322902
40,15.355900049209595,21568.53618736765,21568.53618736765
41,15.740117073059082,21567.485738659027,21567.485738659027
42,16.12597918510437,21566.75233878369,21566.75233878369
43,16.570793628692627,21536.42112770181,21536.42112770181
44,16.92587924003601,21536.42112770181,21536.42112770181
45,17.297464847564697,21536.42112770181,21536.42112770181
46,17.664106369018555,21536.42112770181,21536.42112770181
47,18.021366834640503,21536.42112770181,21536.42112770181
48,18.376161575317383,21536.42112770181,21536.42112770181
49,18.741289854049683,21535.64722278126,21535.64722278126
50,19.09542989730835,21530.118845665416,21530.118845665416
51,19.468063831329346,21530.118845665416,21530.118845665416
52,19.846777200698853,21530.118845665416,21530.118845665416
53,20.221266984939575,21530.118845665416,21530.118845665416
54,20.604580640792847,21530.118845665416,21530.118845665416
55,21.013286352157593,21530.118845665416,21530.118845665416
56,21.368363857269287,21530.118845665416,21530.118845665416
57,21.753496170043945,21518.67707744413,21518.67707744413
58,22.139861583709717,21515.38854744396,21515.38854744396
59,22.507723808288574,21506.347880148223,21506.347880148223
60,22.883586406707764,21450.755272990536,21450.755272990536
61,23.23962664604187,21450.755272990536,21450.755272990536
62,23.593695640563965,21450.755272990536,21450.755272990536
63,23.939763069152832,21450.755272990536,21450.755272990536
64,24.296483278274536,21450.755272990536,21450.755272990536
65,24.64409828186035,21450.755272990536,21450.755272990536
66,25.010744333267212,21450.755272990536,21450.755272990536
67,25.374825477600098,21450.755272990536,21450.755272990536
68,25.72942090034485,21450.755272990536,21450.755272990536
69,26.0860595703125,21450.755272990536,21450.755272990536
70,26.47190570831299,21450.755272990536,21450.755272990536
71,26.89995241165161,21450.755272990536,21450.755272990536
72,27.290223598480225,21450.755272990536,21450.755272990536
73,27.663992166519165,21450.755272990536,21450.755272990536
74,28.056333541870117,21450.755272990536,21450.755272990536
75,28.437148571014404,21450.755272990533,21450.755272990533
76,28.822449922561646,21450.755272990533,21450.755272990533
77,29.199341297149658,21450.755272990533,21450.755272990533
78,29.55368685722351,21450.755272990533,21450.755272990533
79,29.929455280303955,21450.755272990533,21450.755272990533
80,30.300695657730103,21450.755272990533,21450.755272990533
81,30.67345380783081,21450.755272990533,21450.755272990533
82,31.099600791931152,21450.755272990533,21450.755272990536
83,31.44788956642151,21450.755272990533,21450.755272990536
84,31.819618463516235,21450.755272990533,21450.755272990536
85,32.19347810745239,21450.755272990533,21450.755272990536
86,32.56678342819214,21450.755272990533,21450.755272990536
87,32.931610345840454,21450.755272990533,21450.755272990536
88,33.32066750526428,21450.755272990533,21450.755272990536
89,33.67953181266785,21450.755272990533,21450.755272990533
90,34.04783916473389,21450.755272990533,21450.755272990533
91,34.42565298080444,21450.755272990533,21450.755272990533
92,34.846596479415894,21450.755272990533,21450.755272990533
93,35.21897315979004,21450.755272990533,21450.755272990533
94,35.60014486312866,21450.755272990533,21450.755272990533
95,35.96983861923218,21450.755272990533,21450.755272990533
96,36.31665635108948,21450.755272990533,21450.755272990536
97,36.75479483604431,21450.755272990533,21450.755272990536
98,37.12670707702637,21450.755272990533,21450.755272990536
99,37.50925636291504,21450.755272990533,21450.755272990536
100,37.898032665252686,21450.755272990533,21450.755272990536
101,38.324824810028076,21450.755272990533,21450.755272990536
102,38.715866565704346,21450.755272990533,21450.755272990536
103,39.11086440086365,21450.755272990533,21450.755272990536
104,39.49941086769104,21450.755272990533,21450.755272990536
105,39.89640736579895,21450.755272990533,21450.755272990536
106,40.28675889968872,21450.755272990533,21450.755272990536
107,40.73649978637695,21450.755272990533,21450.755272990536
108,41.11808729171753,21450.755272990533,21450.755272990536
109,41.503570795059204,21450.755272990533,21450.755272990536
110,41.87983703613281,21450.755272990533,21450.755272990536
111,42.25365710258484,21450.755272990533,21450.755272990536
112,42.65913414955139,21450.755272990533,21450.755272990536
113,43.04561758041382,21450.755272990533,21450.755272990536
114,43.40853762626648,21450.755272990533,21450.755272990536
115,43.84371519088745,21450.755272990533,21450.755272990536
116,44.219138383865356,21450.755272990533,21450.755272990536
117,44.59072804450989,21450.755272990533,21450.755272990536
118,44.94365072250366,21450.755272990533,21450.755272990536
119,45.35477018356323,21450.755272990533,21450.755272990536
120,45.70617866516113,21450.755272990533,21450.755272990536
121,46.07111835479736,21450.755272990533,21450.755272990536
122,46.56306266784668,21450.755272990533,21450.755272990536
123,46.93861651420593,21450.755272990533,21450.755272990536
124,47.30709910392761,21450.755272990533,21450.755272990536
125,47.67506790161133,21450.755272990533,21450.755272990536
126,48.11819505691528,21450.755272990533,21450.755272990536
127,48.48113441467285,21450.755272990533,21450.755272990536
128,48.8371262550354,21450.755272990533,21450.755272990536
129,49.276878118515015,21450.755272990533,21450.755272990536
130,49.65581130981445,21450.755272990533,21450.755272990536
131,50.035813093185425,21450.755272990533,21450.755272990536
132,50.413753509521484,21450.755272990533,21450.755272990536
133,50.867027044296265,21450.755272990533,21450.755272990536
134,51.23325252532959,21450.755272990533,21450.755272990536
135,51.5961229801178,21450.755272990533,21450.755272990536
136,52.033259868621826,21450.755272990533,21450.755272990536
137,52.38723802566528,21450.755272990533,21450.755272990536
138,52.75619602203369,21450.755272990533,21450.755272990536
139,53.202985763549805,21450.755272990533,21450.755272990536
