Iteration,Time,BestCost,CurrentCost
0,0.1393265724182129,73156.07061117394,73156.07061117394
1,1.999222755432129,73065.57263224163,73065.57263224163
2,3.825666666030884,72985.0128209893,72985.0128209893
3,5.719284296035767,72905.84680570671,72905.84680570671
4,7.516881704330444,72832.84708475936,72832.84708475936
5,9.402716636657715,72765.13276310042,72765.13276310042
6,11.229444026947021,72699.94005199814,72699.94005199814
7,13.182750701904297,72646.5492707923,72646.5492707923
8,15.141790390014648,72588.62837274984,72588.62837274984
9,17.072643041610718,72514.2942206011,72514.2942206011
10,18.988123655319214,72307.1380162121,72307.1380162121
11,21.08130431175232,72257.43483920183,72257.43483920183
12,23.064117670059204,72199.91218564672,72199.91218564672
13,24.929218530654907,72148.39069171107,72148.39069171107
14,26.76560401916504,72098.92495812423,72098.92495812423
15,28.66092586517334,72047.5122472717,72047.5122472717
16,30.635473012924194,72002.52449420735,72002.52449420735
17,32.54277420043945,71959.81873778252,71959.81873778252
18,34.37295317649841,71917.33812607189,71917.33812607189
19,36.21301984786987,71879.91290427405,71879.91290427405
20,38.112319231033325,71825.19108366723,71825.19108366723
21,39.97925782203674,71788.20157239388,71788.20157239388
22,41.78895878791809,71692.71811510423,71692.71811510423
23,43.61232280731201,71657.68222222998,71657.68222222998
24,45.46069264411926,71623.68055150537,71623.68055150537
25,47.22104263305664,71590.7468276948,71590.7468276948
26,48.9972984790802,71557.86180605413,71557.86180605413
27,50.82577109336853,71531.29088878715,71531.29088878715
28,52.621034383773804,71505.95355631362,71505.95355631362
29,54.390849590301514,71473.47765600773,71473.47765600773
30,56.20804286003113,71449.16286713709,71449.16286713709
31,58.001380920410156,71421.01618442345,71421.01618442345
32,59.774454832077026,71397.26704638443,71397.26704638443
33,61.52483940124512,71373.8424101024,71373.8424101024
34,63.38603925704956,71350.53622137566,71350.53622137566
35,65.2801604270935,71324.96587721315,71324.96587721315
36,67.07149338722229,71303.28340319084,71303.28340319084
37,68.83216071128845,71286.76909397238,71286.76909397238
38,70.58207488059998,71272.82269019335,71272.82269019335
39,72.40370416641235,71259.76864152394,71259.76864152394
40,74.18883347511292,71246.80149370806,71246.80149370806
41,75.86560130119324,71235.08410885879,71235.08410885879
42,77.53596234321594,71223.81285706192,71223.81285706192
43,79.40569496154785,71212.8818148756,71212.8818148756
44,81.26720333099365,71202.19618090542,71202.19618090542
45,83.13453698158264,71186.32598634693,71186.32598634693
46,84.93251752853394,71175.69606116567,71175.69606116567
47,87.14026546478271,71165.47482286113,71165.47482286113
48,89.05664205551147,71156.43733251258,71156.43733251258
49,91.21450209617615,71148.20845000225,71148.20845000225
50,93.0682065486908,71140.21895421232,71140.21895421232
51,95.10240387916565,71132.77927705401,71132.77927705401
52,96.94559979438782,71125.33372387139,71125.33372387139
53,98.71786451339722,71118.21996072152,71118.21996072152
54,100.74470257759094,71111.49893296501,71111.49893296501
55,102.98601293563843,71104.8433174835,71104.8433174835
56,105.2743763923645,71099.43827576518,71099.43827576518
57,107.67982888221741,71094.05215931752,71094.05215931752
58,110.15415167808533,71089.04443115539,71089.04443115539
59,112.42191171646118,71084.09385573912,71084.09385573912
60,114.4138011932373,71079.26330117478,71079.26330117478
61,116.3110408782959,71074.49081753613,71074.49081753613
62,118.09508204460144,71070.36999399749,71070.36999399749
63,120.08088707923889,71066.31727649941,71066.31727649941
64,122.02120423316956,71026.9203027815,71026.9203027815
65,123.98120450973511,71011.62705148123,71011.62705148123
66,126.339022397995,71000.58935659575,71000.58935659575
67,128.34904408454895,70988.15015097469,70988.15015097469
68,130.18096232414246,70979.87104677405,70979.87104677405
69,132.20803332328796,70972.53219750129,70972.53219750129
70,134.04526233673096,70967.96751452246,70967.96751452246
71,135.7435119152069,70964.34329642839,70964.34329642839
72,137.4533772468567,70955.23715900446,70955.23715900446
73,139.22178769111633,70952.02094300152,70952.02094300152
74,140.9625759124756,70948.88067631116,70948.88067631116
75,142.74286460876465,70944.56606215182,70944.56606215182
76,144.63484716415405,70934.223655247,70934.223655247
77,146.41822147369385,70930.13712297239,70930.13712297239
78,148.07759594917297,70901.17812141533,70901.17812141533
79,149.70505666732788,70892.44319737716,70892.44319737716
80,151.2971601486206,70886.42237686733,70886.42237686733
81,152.8915708065033,70883.47389589674,70883.47389589674
82,154.5316219329834,70880.73502801024,70880.73502801024
83,156.555114030838,70878.20166589959,70878.20166589959
84,158.29575395584106,70849.36193984476,70849.36193984476
85,159.86971259117126,70846.04273151961,70846.04273151961
86,161.55417442321777,70843.57814942641,70843.57814942641
87,163.13897681236267,70841.37494169385,70841.37494169385
88,164.70529890060425,70839.17314900055,70839.17314900055
89,166.31532406806946,70837.76587308878,70837.76587308878
90,168.00377678871155,70836.36882300774,70836.36882300774
91,169.6809754371643,70831.87229183734,70831.87229183734
92,171.3887755870819,70830.56142574905,70830.56142574905
93,173.0131516456604,70827.85101525648,70827.85101525648
94,174.70780730247498,70826.72357325138,70826.72357325138
95,176.45926570892334,70811.81414018708,70811.81414018708
96,178.18253374099731,70810.92462487117,70810.92462487117
97,179.8110806941986,70802.31187910064,70802.31187910064
98,181.65020561218262,70800.76909682913,70800.76909682913
99,184.4079146385193,70799.88225592839,70799.88225592839
100,186.51521635055542,70786.33663682836,70786.33663682836
101,188.84868741035461,70785.7313568174,70785.7313568174
102,191.15269351005554,70782.48729585778,70782.48729585778
103,193.11162900924683,70781.92979331734,70781.92979331734
104,194.9278576374054,70781.3977092228,70781.3977092228
105,196.65255498886108,70781.10620205803,70781.10620205803
106,198.8754494190216,70770.17662610995,70770.17662610995
107,200.53649234771729,70763.37452863847,70763.37452863847
108,202.2170696258545,70693.50051004553,70693.50051004553
109,203.89768171310425,70676.93992752118,70676.93992752118
110,205.62110805511475,70675.23354473009,70675.23354473009
111,207.37581062316895,70666.86161604675,70666.86161604675
112,209.01176810264587,70666.582211614,70666.582211614
113,210.7091507911682,70666.42765161228,70666.42765161228
114,212.48076748847961,70666.31805298396,70666.31805298396
115,214.56974864006042,70666.2871731349,70666.2871731349
116,216.32987356185913,70666.23427826418,70666.23427826418
117,217.98540782928467,70666.21382929006,70666.21382929006
118,220.14362859725952,70666.21382929006,70666.21382929006
119,221.8643672466278,70666.21382929006,70666.21382929006
120,223.46225333213806,70666.21382929006,70666.21382929006
121,225.05066108703613,70666.21382929006,70666.21382929006
