Iteration,Time,BestCost,CurrentCost
0,0.2899618148803711,62773.62775315999,62773.62775315999
1,2.9104113578796387,62744.824736018825,62744.824736018825
2,5.224822759628296,62704.45822949149,62704.45822949149
3,7.410461187362671,62679.3360871869,62679.3360871869
4,9.671587944030762,62658.11492351127,62658.11492351127
5,11.964843273162842,62637.51771485672,62637.51771485672
6,14.421331882476807,62619.09865653802,62619.09865653802
7,16.928974151611328,62601.2228457422,62601.2228457422
8,19.2536404132843,62585.29604243007,62585.29604243007
9,21.50072956085205,62570.24567825161,62570.24567825161
10,23.78033709526062,62555.554680678695,62555.554680678695
11,26.059285402297974,62541.40584695167,62541.40584695167
12,28.40751814842224,62528.80974338199,62528.80974338199
13,30.54268717765808,62516.89742086711,62516.89742086711
14,32.57245397567749,62507.65334848542,62507.65334848542
15,34.73281502723694,62498.85584143934,62498.85584143934
16,37.2274706363678,62491.523932592485,62491.523932592485
17,39.570478677749634,62484.41588103588,62484.41588103588
18,41.91146659851074,62478.84329044404,62478.84329044404
19,44.17442202568054,62473.70425144155,62473.70425144155
20,46.36704158782959,62468.93457732318,62468.93457732318
21,48.721959829330444,62459.576503829034,62459.576503829034
22,51.09620118141174,62455.00138131679,62455.00138131679
23,53.55942249298096,62450.55891399773,62450.55891399773
24,56.57603883743286,62446.59691377215,62446.59691377215
25,59.34537672996521,62442.64109359497,62442.64109359497
26,62.04353141784668,62438.791046208906,62438.791046208906
27,64.72735691070557,62434.95655647307,62434.95655647307
28,67.41819262504578,62431.629356242156,62431.629356242156
29,70.16749691963196,62428.48036487026,62428.48036487026
30,72.86382627487183,62425.67028943312,62425.67028943312
31,75.55627918243408,62423.4184496025,62423.4184496025
32,78.27388381958008,62421.40288535263,62421.40288535263
33,81.11270308494568,62419.58323775529,62419.58323775529
34,83.75248861312866,62417.803617448975,62417.803617448975
35,86.32540845870972,62416.08557454677,62416.08557454677
36,89.0055251121521,62414.87822411036,62414.87822411036
37,91.41156196594238,62414.48436141678,62414.48436141678
38,93.97713971138,62414.145671031074,62414.145671031074
39,96.4756247997284,62413.976903682946,62413.976903682946
40,98.92451620101929,62413.89478094427,62413.89478094427
41,101.49024438858032,62413.82520814089,62413.82520814089
42,103.9208345413208,62413.81313104807,62413.81313104807
43,106.15825414657593,62413.81313104807,62413.81313104807
44,108.59588742256165,62413.81313104807,62413.81313104807
45,110.98917269706726,62413.81313104807,62413.81313104807
46,113.28217697143555,62413.81313104807,62413.81313104807
47,115.65927982330322,62413.81313104807,62413.81313104807
48,117.99323034286499,62413.81313104807,62413.81313104807
49,120.53866505622864,62413.81313104807,62413.81313104807
50,122.89957356452942,62413.81313104807,62413.81313104807
51,125.40231204032898,62413.81313104807,62413.81313104807
52,127.7663803100586,62413.81313104807,62413.81313104807
53,130.05547642707825,62413.81313104807,62413.81313104807
54,132.28016304969788,62413.81313104807,62413.81313104807
55,134.56341409683228,62413.81313104807,62413.81313104807
56,136.9666395187378,62413.81313104807,62413.81313104807
57,139.3885006904602,62413.81313104807,62413.81313104807
58,141.6692578792572,62413.81313104807,62413.81313104807
59,143.9431300163269,62413.81313104807,62413.81313104807
60,146.4411506652832,62413.81313104807,62413.81313104807
61,148.83033347129822,62413.81313104807,62413.81313104807
62,151.18705582618713,62413.81313104807,62413.81313104807
63,153.59363865852356,62413.81313104807,62413.81313104807
64,155.92711448669434,62413.81313104807,62413.81313104807
65,158.39875411987305,62413.81313104807,62413.81313104807
66,160.74254941940308,62413.81313104807,62413.81313104807
67,163.1263382434845,62413.81313104807,62413.81313104807
68,165.55376267433167,62413.81313104807,62413.81313104807
69,168.21902441978455,62413.81313104807,62413.81313104807
70,170.58396792411804,62413.81313104807,62413.81313104807
71,173.42275190353394,62413.81313104807,62413.81313104807
72,176.75439763069153,62413.81313104807,62413.81313104807
73,180.8444001674652,62413.81313104807,62413.81313104807
74,184.25852012634277,62413.81313104807,62413.81313104807
